time_s,rollAccelerationCommand_rps2,measuredRollRate_rps,rollAttitudeCommand_rad,measuredRollAttitude_rad
2.3,0,-1.514066e-06,0,0
2.31,0,-9.183494e-07,0,0
2.32,0,-7.503991e-07,0,0
2.33,0,-3.748538e-06,0,0
2.34,0,-1.728704e-06,0,0
2.35,0,-3.497017e-06,0,0
2.36,0,-3.986224e-06,0,0
2.37,0,-2.77594e-06,0,0
2.38,0,-6.589951e-07,0,0
2.39,0,-3.172383e-06,0,0
2.4,0,-3.881224e-06,0,0
2.41,0,-6.376113e-06,0,0
2.42,0,-4.21116e-06,0,0
2.43,0,-4.598106e-06,0,0
2.44,0,-5.751946e-06,0,0
2.45,0,-9.499744e-06,0,0
2.46,0,-1.177005e-05,0,0
2.47,0,-1.273035e-05,0,0
2.48,0,-1.005435e-05,0,0
2.49,0,-1.028171e-05,0,0
2.5,0,-1.085788e-05,0,0
2.51,0,-1.049452e-05,0,0
2.52,0,-1.076529e-05,0,0
2.53,0,-1.053713e-05,0,0
2.54,0,-9.390428e-06,0,0
2.55,0,-9.287106e-06,0,0
2.56,0,-8.154942e-06,0,0
2.57,0,-8.411643e-06,0,0
2.58,0,-9.429389e-06,0,0
2.59,0,-7.567767e-06,0,0
2.6,0,-7.001234e-06,0,0
2.61,0,-8.429159e-06,0,0
2.62,0,-9.939944e-06,0,0
2.63,0,-6.655775e-06,0,0
2.64,0,-6.071236e-06,0,0
2.65,0,-1.030822e-05,0,0
2.66,0,-1.082457e-05,0,0
2.67,0,-9.02416e-06,0,0
2.68,0,-8.381413e-06,0,0
2.69,0,-9.493044e-06,0,0
2.7,0,-9.102757e-06,0,0
2.71,0,-1.285878e-05,0,0
2.72,0,-1.162405e-05,0,0
2.73,0,-9.916328e-06,0,0
2.74,0,-1.106076e-05,0,0
2.75,0,-1.063263e-05,0,0
2.76,0,-7.738679e-06,0,0
2.77,0,-8.53863e-06,0,0
2.78,0,-7.283763e-06,0,0
2.79,0,-7.149678e-06,0,0
2.8,0,-6.799487e-06,0,0
2.81,0,-2.225693e-06,0,0
2.82,0,2.909162e-07,0,0
2.83,0,-1.144353e-06,0,0
2.84,0,-2.94345e-06,0,0
2.85,0,-5.335479e-06,0,0
2.86,0,-4.516147e-06,0,0
2.87,0,-1.66903e-06,0,0
2.88,0,-2.785824e-06,0,0
2.89,0,-3.49104e-06,0,0
2.9,0,-2.009667e-06,0,0
2.91,0,-8.119862e-07,0,0
2.92,0,7.970895e-07,0,0
2.93,0,1.874012e-06,0,0
2.94,0,1.723422e-06,0,0
2.95,0,1.114911e-06,0,0
2.96,0,1.186301e-07,0,0
2.97,0,1.477293e-07,0,0
2.98,0,-1.235396e-06,0,0
2.99,0,-1.14289e-06,0,0
3,0,-2.138157e-06,0,0
3.01,0,-3.8933e-06,0,0
3.02,0,-3.268517e-06,0,0
3.03,0,-1.811557e-06,0,0
3.04,0,2.221616e-06,0,0
3.05,0,4.23219e-06,0,0
3.06,0,2.022393e-06,0,0
3.07,0,3.222707e-06,0,0
3.08,0,-1.174098e-07,0,0
3.09,0,-4.873847e-07,0,0
3.1,0,-6.646e-07,0,0
3.11,0,-2.926027e-07,0,0
3.12,0,7.916595e-07,0,0
3.13,0,1.8585e-06,0,0
3.14,0,1.365911e-06,0,0
3.15,0,2.590386e-06,0,0
3.16,0,2.444035e-06,0,0
3.17,0,1.477976e-06,0,0
3.18,0,1.173742e-06,0,0
3.19,0,-2.067147e-06,0,0
3.2,0,-6.545621e-07,0,0
3.21,0,-5.575289e-07,0,0
3.22,0,1.648721e-06,0,0
3.23,0,1.483263e-06,0,0
3.24,0,-2.821139e-06,0,0
3.25,0,-1.227706e-06,0,0
3.26,0,-1.253355e-06,0,0
3.27,0,1.203624e-06,0,0
3.28,0,1.947917e-06,0,0
3.29,0,-4.495647e-08,0,0
